id,category,label,risk_level,text_bn,red_flags_bn,is_synthetic,pattern_basis
scam_001,OTP/Account-lock phishing,scam,high,"জরুরি সতর্কতা: আপনার bKash হিসাবে অস্বাভাবিক লগইন সনাক্ত হয়েছে। আজই ০১XXXXXXXXX নম্বরে কল করে আপনার ৪ ডিজিট কোড জানিয়ে হিসাব সচল রাখুন, অন্যথায় ২৪ ঘণ্টার মধ্যে স্থায়ীভাবে বন্ধ হবে।","urgency, account-lock threat, PIN/code চাওয়া, নিজস্ব নম্বরে কল করতে বলা",TRUE,"TI Bangladesh / PRI survey-described OTP-phishing pattern (paraphrased, not verbatim)"
scam_002,OTP/Account-lock phishing,scam,high,"প্রিয় গ্রাহক, আপনার Nagad KYC আপডেট প্রয়োজন। নিচের নম্বরে OTP শেয়ার করুন নাহলে হিসাব ফ্রিজ হয়ে যাবে: ০১XXXXXXXXX","KYC ভয়, OTP শেয়ার করতে বলা, ফ্রিজ হওয়ার হুমকি",TRUE,Common Bangladesh MFS KYC-themed smishing pattern
scam_003,OTP/Account-lock phishing,scam,high,"Rocket সিস্টেম মেইনটেনেন্স চলছে। হিসাব যাচাই করতে এখনই আপনার পিন এই নম্বরে SMS করুন, দেরি করলে টাকা আটকে যাবে।","মেইনটেনেন্স অজুহাত, পিন SMS করতে বলা, সময়ের চাপ",TRUE,Generic MFS maintenance-pretext phishing pattern
scam_004,OTP/Account-lock phishing,scam,high,সতর্কীকরণ: আপনার bKash এজেন্ট আইডি সাসপেন্ড হবে আজ রাত ১২টায়। সাসপেনশন বন্ধ করতে কোড পাঠান: 4-ডিজিট।,"এজেন্ট-টার্গেটেড হুমকি, ডেডলাইন চাপ, কোড চাওয়া",TRUE,TI Bangladesh survey note: agents (17%) more targeted than individual users
scam_005,OTP/Account-lock phishing,scam,high,"নগদ থেকে বলা হচ্ছে - আপনার একাউন্টে সন্দেহজনক এক্টিভিটি পাওয়া গেছে। ভেরিফিকেশনের জন্য কলব্যাক করুন এই নাম্বারে, না হলে ফ্রিজ হবে।","সন্দেহজনক এক্টিভিটি দাবি, কলব্যাক-এ চালিত করা, ফ্রিজ হুমকি",TRUE,Common voice-phishing (vishing) callback pattern
scam_006,OTP/Account-lock phishing (call transcript),scam,high,"কলার নিজেকে bKash কাস্টমার কেয়ার অফিসার পরিচয় দিয়ে বলে, 'আপনার একাউন্ট ব্লক হয়ে যাচ্ছে, এখনই আপনার পিন নাম্বারটা বলুন যাতে আমরা রিভার্স করতে পারি।'","নিজেকে অফিসিয়াল স্টাফ পরিচয় দেওয়া, সরাসরি পিন জিজ্ঞাসা",TRUE,Illustrates call-transcript input mode; matches 'bKash staff will never ask for PIN' consumer warning
scam_007,OTP/Account-lock phishing,scam,high,"আপনার সিম কার্ড আজ রাতে বন্ধ হয়ে যাবে অপারেটর নীতির কারণে, বন্ধ ঠেকাতে এই লিংকে গিয়ে NID যাচাই করুন।","সিম বন্ধের হুমকি, বাহ্যিক লিংকে NID দিতে বলা",TRUE,"Adjacent to Sender-ID/registration-themed phishing, ahead of BD sender-ID rules"
scam_008,OTP/Account-lock phishing,scam,high,"bKash সিকিউরিটি টিম: আপনার একাউন্টে থার্ড পার্টি এক্সেস চেষ্টা হয়েছে, প্রতিরোধ করতে অবিলম্বে ৬ ডিজিট কোড রিপ্লাই করুন।","থার্ড-পার্টি এক্সেস দাবি, তাৎক্ষণিক কোড রিপ্লাই চাওয়া",TRUE,Generic account-security-alert phishing pattern
scam_009,Lottery / prize scam,scam,high,"অভিনন্দন! আপনার নাম্বারটি Nagad বর্ষপূর্তি লাকি ড্র-তে ৫০,০০০ টাকা জিতেছে। পুরস্কার নিতে প্রসেসিং ফি পাঠান এই নাম্বারে।","অপ্রত্যাশিত পুরস্কার, প্রসেসিং ফি আগে চাওয়া",TRUE,TI Bangladesh-noted lottery/prize lure category
scam_010,Lottery / prize scam,scam,high,"bKash Eid Bonanza বিজয়ী তালিকায় আপনার নাম্বার! ২৫,০০০ টাকা পেতে আপনার হিসাব নাম্বার ও পিন কনফার্ম করুন।","সিজনাল অফারের নাম ভাঁড়িয়ে, পিন কনফার্ম করতে বলা",TRUE,Festival-themed brand-impersonation lottery pattern
